Date,BOVESPA,DJIA,NIKKEI,STOXX,Oil,Gold,Copper,EURUSD,10YR,LIBOR,Soy,VIX
1/2/03,11291,8626.990234,8953.29,2585.42,25.72,1259.25,0.7135,1.002606778,4.09,2.8955,5.78,25.39
1/3/03,11632,8531.30957,8920.44,2577,25.36,1244.25,0.702,0.990883868,3.88,2.89413,5.75,24.68
1/6/03,11636,8441.94043,8690.77,2527.18,25.83,1239.5,0.696,0.986290561,3.85,2.88513,5.74,24.91
1/7/03,12010,8367.410156,8460.37,2531.66,26.02,1247.75,0.6995,#N/A,#N/A,2.87775,5.77,25.13
1/8/03,11875,8511.389648,8464.77,2459.02,26.19,1254.75,0.699,0.989609104,3.84,2.86563,5.77,25.53
1/9/03,11814,8491.990234,8438.52,2486.94,25.28,1241,0.697,0.994035785,3.84,2.848,5.75,24.25
1/10/03,11925,8448.860352,8303.39,2515.34,25.4,1237.25,0.714,0.996611521,4.03,2.8505,5.52,24.32
1/13/03,12243,8429.280273,8503.59,2471.38,25.5,1238,0.7265,0.991866693,4.05,2.85038,5.43,24.9
1/14/03,12131,8304.05957,8346.01,2429.42,26.71,1248.75,0.7345,0.991768323,4.02,2.85038,5.45,24.57
1/15/03,12151,8332.240234,8365.26,2522.05,26.41,1246,0.7315,0.989413278,3.99,2.85038,5.46,25.51
1/16/03,11973,8342.379883,8459.62,2490.61,27,1232.25,0.742,0.997605746,4.08,2.85038,5.45,25.01
1/17/03,11952,8607.379883,8668.06,2427.31,27.07,1226,0.746,1.001602564,4.14,2.85175,5.52,25.7
1/20/03,11675,8602.780273,8772.56,2406.08,27.73,1226.5,0.74,1.003411599,4.18,2.85163,5.53,#N/A
1/21/03,11610,8775.839844,8944.44,2438.97,27.01,1237.5,0.748,1.006339942,4.19,2.85038,5.58,27.59
1/22/03,11428,8735.929688,8823.99,2456.5,26.6,1238,0.756,1.008776354,4.08,2.84025,5.6,29.01
1/23/03,11148,8596.679688,8875.88,2364.99,26.87,1232.25,0.761,1.01061142,4.26,2.838,5.67,27.53
1/24/03,11157,8776.040039,9176.78,2386.41,#N/A,1219.75,0.757,#N/A,#N/A,2.83675,5.66,31.51
1/27/03,10768,8787.830078,9215.56,2386.41,#N/A,1201.5,0.7545,1.006846557,4.22,2.835,5.72,34.69
1/28/03,10534,8787.219727,9174.47,2522.24,27.27,1201.5,0.765,1.007353682,4.22,2.83375,5.6,31.93
1/29/03,10514,8843.639648,9205.11,2502.19,27.34,1209.25,0.769,1.003210273,4.24,2.83238,5.67,31.26
1/30/03,10873,8721.120117,9006.73,2529.86,26.8,1196.5,0.7665,1.00010001,4.18,2.83225,5.62,31.32
1/31/03,10761,8695.820312,8917.57,2504.91,27.27,1192.75,0.765,1.001101211,4.13,2.83288,5.66,31.17
2/3/03,10943,8586.259766,8863.26,2449.78,27.03,1195,0.7565,0.991965083,4.09,2.83025,5.69,31.02
2/4/03,10879,8439.540039,8828.05,2492.18,27.29,1205.25,0.753,0.991276764,4.06,2.82625,5.61,32.76
2/5/03,10581,8320.719727,8804.52,2489.01,27.73,1233.25,0.7625,0.992752904,4.06,2.82425,5.61,33.04
2/6/03,10587,8367.889648,8727.66,2497.61,27.49,1237.25,0.788,0.991768323,4.01,2.82213,5.54,33.35
2/7/03,10567,8128.540039,8708.69,2509.43,28.2,1229.5,0.7915,0.981450584,4.01,2.81125,5.63,34.01
2/10/03,10388,7991.069824,8516.07,2479.71,28.39,1222.75,0.7865,0.977899472,4.07,2.80625,5.7,33.99
2/11/03,10491,8087.950195,8450.94,2474.88,30.15,1243.5,0.7775,0.979431929,4.15,2.80763,5.82,33.68
2/12/03,10512,8109.140137,8510.73,2390.35,30.04,1255.25,0.777,0.973994351,4.13,2.80088,5.71,34.33
2/13/03,10509,7939.720215,8344.01,2352.81,30.41,1245.75,0.766,0.975229179,4.06,2.79763,5.72,33.7
2/14/03,10103,8053.740234,8387.57,2326.93,30.57,1228.5,0.7615,0.978760889,3.96,2.7925,5.73,32.62
2/17/03,10089,8104.609863,8406.88,2278.22,30.57,1230.75,0.774,0.973899494,3.97,2.79413,5.71,#N/A
2/18/03,10192,8014.450195,#N/A,2269.04,32.09,1234,0.774,0.978760889,3.98,2.79413,5.68,31.11
2/19/03,10434,7981.950195,8512.37,2234.56,32.13,1213,0.77,0.970402717,3.95,2.79288,5.73,31.31
2/20/03,10259,7932.450195,8501.14,2154.53,#N/A,1219,0.749,#N/A,#N/A,2.794,5.71,31.16
2/21/03,10222,7865.740234,8700.1,2159.8,32.61,1237.5,0.755,0.965437343,3.93,2.7925,5.74,30.25
2/24/03,10334,7920.930176,8714.05,2189.03,32.68,1245.25,0.739,0.960522524,3.83,2.7055,5.78,31.98
2/25/03,10231,7836.359863,8578.95,2238.19,31.41,1241.75,0.7445,0.956022945,3.82,2.699,5.81,31.74
2/26/03,10192,7756.549805,#N/A,2248.18,31.21,1250.75,0.751,0.953743443,3.83,2.67625,5.74,31.94
2/27/03,10006,7750.899902,#N/A,2270.73,#N/A,1250.75,0.7765,#N/A,#N/A,2.63025,5.76,30.53
2/28/03,10153,7909.299805,#N/A,2184.36,31.97,1231.75,0.785,0.965157803,4.07,2.65013,5.7,29.63
